time,x,der(x),der(der(x)),F_in,k,c,m
2.759999999999985,-0.08468338093640612,-0.1982885210320255,0.2829719019684317,0,0,0,0
2.769999999999985,-0.08665227183466179,-0.1954628298799137,0.2821151017145755,0,0,0,0
2.779999999999985,-0.08859294856419873,-0.192645806541307,0.2812387551055057,0,0,0,0
2.789999999999984,-0.09050549876609472,-0.1898376450758443,0.280343143841939,0,0,0,0
2.799999999999984,-0.09239001200809305,-0.1870385367303354,0.2794285487384284,0,0,0,0
2.809999999999984,-0.09424657975651821,-0.18424866994772,0.2784952497042382,0,0,0,0
2.819999999999984,-0.09607529534828284,-0.1814682303762171,0.2775435257245,0,0,0,0
2.829999999999984,-0.09787625396298595,-0.178697400878661,0.2765736548416469,0,0,0,0
2.839999999999983,-0.09964955259510647,-0.1759363615420217,0.2755859141371282,0,0,0,0
2.849999999999983,-0.1013952900262925,-0.1731852896871078,0.2745805797134003,0,0,0,0
2.859999999999983,-0.103113566797748,-0.1704443598784458,0.2735579266761938,0,0,0,0
2.869999999999983,-0.1048044851827204,-0.1677137439343377,0.2725182291170581,0,0,0,0
2.879999999999983,-0.106468149159088,-0.1649936109370908,0.2714617600961788,0,0,0,0
2.889999999999982,-0.108104664382052,-0.1622841272434174,0.2703887916254695,0,0,0,0
2.899999999999982,-0.1097141381569321,-0.1595854564950036,0.2692995946519357,0,0,0,0
2.909999999999982,-0.1112966794120698,-0.1568977596292413,0.2681944390413111,0,0,0,0
2.919999999999982,-0.1128523986718393,-0.1542211948901251,0.2670735935619644,0,0,0,0
2.929999999999982,-0.1143814080297676,-0.1515559178393052,0.2659373258690728,0,0,0,0
2.939999999999981,-0.1158838211217666,-0.1489020813673009,0.2647859024890674,0,0,0,0
2.949999999999981,-0.1173597530994782,-0.1462598357048656,0.2636195888043438,0,0,0,0
2.959999999999981,-0.1188093206037335,-0.1436293284345051,0.2624386490382385,0,0,0,0
2.969999999999981,-0.1202326417381274,-0.1410107045021434,0.2612433462402708,0,0,0,0
2.97999999999998,-0.1216298360427117,-0.1384041062289362,0.2600339422716479,0,0,0,0
2.98999999999998,-0.1230010244678065,-0.1358096733232267,0.2588106977910332,0,0,0,0
2.99999999999998,-0.1243463293479315,-0.133227542892643,0.2575738722405745,0,0,0,0
3.00999999999998,-0.1256658743758594,-0.1306578494563351,0.2563237238321944,0,0,0,0
3.01999999999998,-0.1269597845767923,-0.1281007249573448,0.2550605095341371,0,0,0,0
3.029999999999979,-0.1282281862826626,-0.1255562987751114,0.253784485057774,0,0,0,0
3.039999999999979,-0.1294712071065591,-0.1230246977381077,0.2524959048446668,0,0,0,0
3.049999999999979,-0.1306889759172804,-0.1205060461366032,0.2511950220538837,0,0,0,0
3.059999999999979,-0.1318816228140171,-0.118000465735553,0.2498820885495701,0,0,0,0
3.069999999999979,-0.1330492791011621,-0.1155080757876103,0.2485573548887724,0,0,0,0
3.079999999999978,-0.1341920772632531,-0.1130289930462594,0.2472210703095125,0,0,0,0
3.089999999999978,-0.1353101509400465,-0.1105633317790662,0.2458734827191126,0,0,0,0
3.099999999999978,-0.1364036349017239,-0.1081112037810442,0.244514838682768,0,0,0,0
3.109999999999978,-0.1374726650242329,-0.1056727183881342,0.2431453834123671,0,0,0,0
